Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
Python for Beginners: The Ultimate Crash Course to Learn Python in 7 days With Step-by-Step Guidance and Hands-On Exercises (Data Science Book 1),['Andrew Park'],0,2,5.00,1
Introducing Data Science,"['Davy Cielen', 'Arno D.B. Meysman', 'Mohamed  Ali']",0,4,3.33,36
Introduction to Data Science: Essential Concepts,['Peters Morgan'],0,2,4.20,10
"Data Science for Beginners: This Book Includes - Machine Learning for Beginners + Python Machine Learning for Beginners - Big Data Analytics, Data Science, Data Analysis and Programming Code",['Leonard Deep'],0,2,3.25,4
Python for Data Science for Dummies,['Zanab Hussain'],2014,3,4.39,18
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,['Thomas W. Miller Jr.'],2015,3,3.79,14
Data science interviews exposed,"['Jane You', 'Iris Wang', 'Yanping Huang']",2015,1,3.37,19
Probability & Statistics for Data Science,['Ankit  Rathi'],0,2,4.07,14
"Data Analytics: Master The Techniques For Data Science, Big Data And Data Analytics",['Robert Keane'],0,2,2.71,21
PYTHON: 4 BOOKS IN 1: Learn How To Develop Programs And Apps In 7 Days With Python Programming And Start Deep Hands-on Learning For Beginners of Data Science And Machine Learning.,"['Oliver R. Simpson', 'Code Developer Academy']",0,1,4.40,5
Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,['Kal Mishra'],0,1,4.00,10
Process Mining: Data Science in Action,['Wil van der Aalst'],0,3,4.18,17
"Swift: Programming, Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,2.62,13
Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,['Samuel Hack'],0,2,5.00,6
PYTHON FOR DATA SCIENCE: The Ultimate Beginners’ Guide to Learning Python Data Science Step by Step,['Ethan Williams'],0,1,4.33,3
Data Science from Scratch: Practical Guide with Python,['Alain Kaufmann'],0,3,3.92,12
Deep Learning: Deep Learning for Beginners. Practical Guide with Python and Tensorflow (Data Sciences Book 2),['François Duval'],0,1,3.86,7
Deep Learning in Python Prerequisites: Master Data Science and Machine Learning with Linear Regression and Logistic Regression in Python,['Lazy Programmer'],0,2,2.76,21
Decoding the Social World: Data Science and the Unintended Consequences of Communication,['Sandra González-Bailón'],0,2,4.22,9
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective","['Ramesh Sharda', 'Dursun Delen', 'Efraim Turban']",0,4,3.88,26
Report Writing for Data Science in R,['Roger D. Peng'],2015,2,3.74,31
Data Science: Create Teams That Ask the Right Questions and Deliver Real Value,['Doug Rose'],0,2,3.72,18
High-Dimensional Probability: An Introduction with Applications in Data Science,['Roman Vershynin'],0,5,4.73,11
"Neural Networks: Artificial Neural Networks. Concepts, Tools and Techniques explained for Absolute Beginners",['François Duval'],0,1,3.57,14
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow",['Lazy Programmer'],0,1,3.55,11
Deep Learning: Deep Learning for Beginners: Concepts and Algorithms,['François Duval'],0,1,4.09,11
"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis",['Lazy Programmer'],0,1,3.55,11
An Introduction to Data Science,['Zeeshan-ul-Hassan Usmani'],0,1,4.50,10
Conversations on Data Science,['Roger D. Peng'],0,1,3.12,25
"RUBY: 2nd Edition! Beginner's Crash Course - Ruby for Beginners Guide to: Ruby Programming, Ruby On Rails, Rails Programming (Data Structures, Data Science, ... Computer Science, Computer Book 1)",['Quick Start Guides'],2015,1,3.70,10
"Python for Data Analysis: A Step By Step Guide to Master the Basics of Data Analysis in Python Using Pandas, Numpy And Ipython (Data Science Book 2)",['Andrew Park'],0,2,3.00,5
"Ruby: Programming, Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms (Code like a PRO in 24 ... design, tech, perl, ajax, swift, python)","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,3.10,10
Data Science From Scratch With Python: Step By Step Guide,['Peters Morgan'],0,3,4.33,15
Going Pro in Data Science: What It Takes to Succeed as a Professional Data Scientist,['Jerry Overton'],0,1,3.11,36
Data Science and Machine Learning 2.0 Using Python 3.7: : with Live OpenCV and TensorFlow Projects,['Narendra Mohan Mittal'],0,1,5.00,35
"Data Analytics: Practical Data Analysis and Statistical Guide to Transform and Evolve Any Business Leveraging the Power of Data Analytics, Data Science, and Predictive Analytics for Beginners",['Isaac D. Cody'],0,2,2.71,17
Fundamentals of Clinical Data Science,"['Pieter Kubben', 'Michel Dumontier', 'Andre Dekker']",0,2,3.50,2
Python Machine Learning: Practical Guide for Beginners,['François Duval'],0,3,3.57,7
Data Science 2.0: Live Raspberry Pi 3 and Arduino Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,4.89,36
"Crack Your Next Data Science Interview with 300+ Questions: SQL,Statistics,Python,R,Aptitude,Project Description",['The DataMonk'],0,1,3.43,7
Data Science Essentials in Python: Collect - Organize - Explore - Predict - Value,['Dmitry Zinoviev'],0,4,2.75,12
Mastering Deep Learning Fundamentals with Python: An Ultimate Guide for Beginners in Data Science,['AI Publishing'],0,2,3.00,3
"Data Science: The Ultimate Guide to Data Analytics, Data Mining, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, Big Data for Business and Machine Learning for Beginners",['Herbert Jones'],0,1,2.92,12
Data Science for Supply Chain Forecast,['Nicolas Vandeput'],0,1,4.50,8
"Java Programming: Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms (Code like a PRO in 24 ... design, tech, perl, ajax, swift, python)","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,3.27,15
Uncharted: Big Data and an Emerging Science of Human History,"['Erez Aiden', 'Jean-Baptiste Michel']",2013,5,3.72,630
Data Science and Big Data 2.0: : With Live Robotics Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,5.00,35
"Programming Skills for Data Science: Start Writing Code to Wrangle, Analyze, and Visualize Data with R (Addison-Wesley Data & Analytics Series)","['Michael Freeman', 'Joel Ross']",0,1,4.33,6
Data Science: A Comprehensive Beginner’s Guide to Learn the Realms of Data Science,['Liam Damien'],0,2,3.25,8
100 Puzzles and Case Studies To Crack Data Science Interview,['TheDataMonk'],0,1,3.64,11
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,['Yoon Hyup Hwang'],0,2,4.67,9
Python Machine Learning: A Complete Guide for Beginners on Machine Learning and Deep Learning with Python (Data Science Book 3),['Andrew Park'],0,3,4.00,1
Mastering Python for Data Science,['Samir'],2015,2,3.50,12
"Marketing Analytics: Optimize Your Business with Data Science in R, Python, and SQL",['Dave Jacobs'],0,1,4.00,5
"Natural Language Processing in Python: Master Data Science and Machine Learning for spam detection, sentiment analysis, latent semantic analysis, and article spinning",['Lazy Programmer'],0,1,4.21,14
Data Science in Production: Building Scalable Model Pipelines with Python,['Ben Weber'],0,3,3.83,6
Data Science Job: How to become a Data Scientist,['Przemek Chojecki'],0,2,3.50,6
"Big Data Demystified: How to use big data, data science and AI to make better business decisions and gain competitive advantage",['David Stephenson'],0,1,4.09,11
Machine Learning From Scratch: Practical Guide With Python,['Alain Kaufmann'],0,1,3.80,5
"Markov Models: Understanding Data Science, Markov Models And Unsupervised Machine Learning In Python",['Duo Code'],0,1,3.67,9
Data Science from Scratch: Data Science for Beginners and Layman,['Narendra Mohan Mittal'],0,1,5.00,36
Data Science Jobs: Land a lucrative job in 90 days,['Ann Rajaram'],0,1,4.43,14
100 Questions To Crack Business Analyst Interview: Interview Questions to crack data science interview,['nitin'],0,1,3.92,12
"Numerical Python : Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",['Robert Johansson'],2015,5,4.00,15
"Data Analysis from Scratch with Python: Beginner Guide for Data Science, Data Visualization, Regression, Decision Tree, Random Forest, Reinforcement Learning, Neural Network and NLP using Python",['Peters Morgan'],0,4,4.00,18
Data Science using Python: With Python Testing,['Narendra Mohan Mittal'],0,1,5.00,34
Data Analytics: Using Big Data Analytics For Business To Increase Profits And Create Happy Customers,['Matthew Adams'],0,1,3.56,9
Data Science 2.0 With Raspberry Pi 3 and Arduino: Live Robotics Projects using Python 3.7,['Narendra Mohan Mittal'],0,1,5.00,35
The Disruptors: Data Science Leaders: Collective Biographies of Influential Leaders: Vol I,['Kate Strachnyi'],0,2,4.50,2
Python: 2 books in 1: Python For Beginners + Python Programming . Master the machine language Data Science Analysis and Artificial intelligence. Exercises included!,['Marc Matthes'],0,1,4.00,1
Deep Learning: Deep Learning for the Layman. Visual Guide without Maths added,['François Duval'],0,1,2.83,6
Data Science with Python and Dask,['Jesse C. Daniel'],0,1,4.00,10
"Computer Programming Crash Course: 7 Books in 1- Coding Languages for Beginners: C++, C#, SQL, Python, Data Science for Python, Raspberry pi and Arduino. Teach Yourself to Code. Learn Faster.",['Julian James McKinnon'],0,2,3.00,2
Data Analytics: The Insider's Guide To Master Data Analytics,"['Cedric Nix', 'Writers International Publishing']",0,1,3.36,14
"Python for Beginners: The Absolute Beginners Guide to Python Programming, Data Science and Predictive Model. A Practical Introduction to Object Oriented Programming Language. (Essentials Cookbook)",['Django Smith'],0,2,2.25,4
"Essential Math for Data Science: Take Control of Your Data with Fundamental Calculus, Linear Algebra, Probability, and Statistics",['Hadrien Jean'],0,1,0.00,0
Data Science for Beginners and Layman: (2019),['Narendra Mohan Mittal'],0,1,5.00,34
"Data Science: What the Best Data Scientists Know About Data Analytics, Data Mining, Statistics, Machine Learning, and Big Data – That You Don't",['Herbert Jones'],0,2,3.00,9
Data Science 2.0 using Python 3.7 With New Arduino and Raspberry Pi 3 Projects,['Narendra Mohan Mittal'],0,1,5.00,35
Math for Machine Learning: Open Doors to Data Science and Artificial Intelligence,['Richard Han'],0,2,3.00,5
Nuts About Data: A Story of How Data Science Is Changing Our Lives,['Meor Amer'],0,2,4.25,12
"Python for Data Science: A Crash Course for Data Science and Analysis, Python Machine Learning and Big Data",['Computer Science Academy'],0,1,2.50,2
"Statistics for Beginners: Fundamentals of Probability and Statistics for Data Science and Business Applications, Made Easy for You",['Matt Foster'],0,2,3.50,2
Julia for Data Science,['Zacharias Voulgaris'],0,2,4.55,22
"Data Science: Mindset, Methodologies, and Misconceptions",['Zacharias Voulgaris'],2017,2,4.75,20
Data Science and Complex Networks: Real Case Studies with Python,"['Guido Caldarelli', 'Alessandro Chessa']",0,2,3.57,7
Python Data Science: The Ultimate and Complete Beginners Guide to Master Data Science with Python Step By Step,['Andrew Park'],0,2,3.67,3
Modeling Techniques in Predictive Analytics with Python and R: A Guide to Data Science,['Thomas W. Miller'],2014,2,3.67,15
Data Science for Fundraising: Build Data-Driven Solutions Using R,"['Ashutosh Nandeshwar', 'Rodger Devine']",0,2,4.25,8
"Mastering Data Science from Scratch with Python: Concepts and Practices with NumPy, Pandas, Matplotlib, Scikit-Learn and Keras",['AI Publishing'],0,1,5.00,1
Clojure for Data Science,['Henry Garner'],2015,2,3.62,8
"Introduction to Data Science: A Python Approach to Concepts, Techniques and Applications","['Laura Igual', 'Santi Segui', 'Jordi Vitrià']",0,2,3.56,9
Practical Web Scraping for Data Science: Best Practices and Examples with Python,"['Seppe vanden Broucke', 'Bart Baesens']",0,3,3.75,12
"Python Programming: 2 Books in 1: Python for Beginners and for Data Analysis. The Ultimate Crash Course with Hands-on Exercises, Step-by-Step Guidance ... to Data Analysis. (Data Science Book 5)",['Andrew Park'],0,1,4.25,4
Python Data Science: Hands on Learning for Beginners,['Travis Booth'],0,2,0.00,0
"Python Machine Learning: Discover the Essentials of Machine Learning, Data Analysis, Data Science, Data Mining and Artificial Intelligence Using Python Code with Python Tricks",['Samuel Hack'],0,2,5.00,2
Big Data and Social Science: A Practical Guide to Methods and Tools,"['Ian Foster', 'Rayid Ghani', 'Ron S Jarmin']",0,5,3.00,4
Financial Analytics with R: Building a Laptop Laboratory for Data Science,"['Mark J. Bennett', 'Dirk L. Hugen']",0,2,4.75,4
Statistical Inference Via Data Science: A Moderndive Into R and the Tidyverse,"['Chester Ismay', 'Albert Y Kim']",0,6,4.80,10
Regressions Models for Data Science in R,['Brian Caffo'],0,1,3.67,15
Data Science Strategy For Dummies (For Dummies,['Ulrika Jägare'],0,1,3.67,3
"Data Science in Python, Volume 2: Data I/O, Jupyter Notebook, GUI, Deployment, Numeric Programming, High Performance Python",['Alexander Stepanov'],0,1,2.43,7
A collection of Data Science Interview Questions Solved in Python and Spark: BigData and Machine Learning in Python and Spark (A Collection of Programming Interview Questions Book 6),['Antonio Gulli'],0,3,3.42,12
"Data Science in Python. Volume 1: Get and Install Scientific Python3: WinPython, Anaconda",['Alexander Stepanov'],0,1,3.67,9
"Python Machine Learning: The Crash Course for Beginners to Programming and Deep Learning, Artificial Intelligence, Neural Networks and Data Science. Scikit Learn, Tensorflow, Pandas and Numpy.",['Django Smith'],0,2,2.00,1
Practical Dataops: Delivering Agile Data Science at Scale,['Harvinder Atwal'],0,1,4.00,5
Predictive Analytics: How Data Science Predicts What You Are Going to Do,['Eric Siegel'],2013,21,3.67,"1,861"
Python for Data Science For Dummies (For Dummies,"['John Paul Mueller', 'Luca Massaron']",0,4,3.67,3
How To Start a Career in Data Science,['TheDataMonk'],0,1,3.61,18
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,['Thomas W. Miller'],2015,1,3.33,6
Python Programming: This Book Includes: Python Programming For Beginners + Tips And Tricks + Data Science Learn Computer Languages in One Day Effectively (#2020 Version),['Steve Tudor'],0,2,5.00,4
"Python for Data Visualization for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn, Step-by-Step Guide with Hands-on Projects and Exercises ... Learning & Data Science for Beginners)",['AI Publishing'],0,2,4.33,3
Deep Learning Made Easy with R: A Gentle Introduction for Data Science,['N.D. Lewis'],0,2,3.27,11
Football Hackers: The Science and Art of a Data Revolution,['Christoph Biermann'],0,4,4.35,494
Machine Learning in Business: An Introduction to the World of Data Science,['John C Hull'],0,4,3.75,4
A Hands-On Introduction to Data Science,['Chirag Shah'],0,4,2.25,4
Data Science with Java: Practical Methods for Scientists and Engineers,['Michael R. Brzustowicz'],2016,6,3.71,7
"Entertainment Science: Data Analytics and Practical Theory for Movies, Games, Books, and Music","['Thorsten Hennig-Thurau', 'Mark B Houston']",0,3,4.67,3
Be the Outlier: How to Ace Data Science Interviews,['Shrilata Murthy'],0,1,4.00,2
Algorithms & Data Structures: The Science of Computing,"['Greg W. Scragg', 'Orit Hazzan']",2004,1,3.33,6
Computational and Inferential Thinking: The Foundations of Data Science,"['Ani Adhikari', 'John DeNiro']",0,1,4.00,4
R Graphics Essentials for Great Data Visualization: +200 Practical Examples You Want to Know for Data Science,['Alboukadel Kassambara'],0,1,4.00,6
Machine Learning: The Ultimate Guide for Beginners and Starters,['Andy Grey'],0,1,3.57,7
Hands-On Data Science and Python Machine Learning,['Frank Kane'],0,3,3.25,4
"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn",['Stephen Klosterman'],0,2,4.33,3
Data Science in R: A Case Studies Approach to Computational Reasoning and Problem Solving,"['Deborah Nolan', 'Duncan Temple Lang']",2015,4,4.60,5
"Python Programming: 4 Books in 1 - The Complete Crash Course for Beginners to Mastering Python with Practical Applications to Data Analysis & Analytics, Machine Learning and Data Science Projects",['Andrew Park'],0,1,1.00,1
"Programming: 3 Manuscripts: Python Crash Course, Python Machine Learning and Python Data Science for Beginners",['Steve Blair'],0,3,2.50,2
"Python for Beginners: A Step by Step Crash Course to Learn Smarter the Fundamental Elements of Python Programming, Machine Learning, Data Science and Tools, Tips and Tricks of This Coding Language",['Jason Knox'],0,4,3.00,4
Python for beginners: An introduction to the programming. Data science and data analysis. Clear definitions of the lexicon. Python for beginners = A guide for everybody!,['Mark Wilson'],0,2,5.00,1
"Javascript: Programming, Master's Handbook; A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms (Code like a PRO ... Handbook Series, jquery, php, app design,)","['Code Well Academy', 'R.M.Z. Trigo']",2015,1,3.00,4
"Making Data Talk: The Science and Practice of Translating Public Health Research and Surveillance Findings to Policy Makers, the Public, and the Press","['David E. Nelson', 'Bradford W. Hesse', 'Robert T. Croyle']",2007,4,3.71,7
Sports Analytics and Data Science: Winning the Game with Methods and Models,['Thomas W. Miller'],2015,4,3.67,9
Julia 1.0 Programming - Second Edition: Quick start to your Data Science projects,['Ivo Balbaert'],0,2,4.00,9
The Python Bible 7 in 1: Volumes One To Seven,['Florian Dedov'],0,2,5.00,2
"Python: 3 Books in 1: Machine Learning, Python and Data Science. Learn Computer Programming for Beginners.",['Oliver Soranson'],0,1,3.50,2
"The Decision Maker’s Handbook to Data Science: A guide for non-technical executives, managers and founders",['Stylianos Kampakis'],0,1,4.00,5
Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise,['Daniel Vaughan'],0,4,3.60,5
An Introduction to Data Science,"['Jeffrey S Saltz', 'Jeffrey M. Stanton']",0,5,3.42,12
Nonresponse in Social Science Surveys: A Research Agenda,"['Panel on a Research Agenda for the Future of Social Science Data Collection', 'Committee on National Statistics', 'Division on Behavioral and Social Sciences and Education']",2013,3,3.00,1
Data Science para negócios: O que você precisa saber sobre mineração de dados e pensamento analítico de dados,"['Tom Fawcett', 'Foster Provost']",0,2,3.67,6
"R for Data Science - R Data Science Tips, Solutions and Strategies",['Dan Toomey'],2014,3,3.33,6
Data Science in Higher Education: A Step-By-Step Introduction to Machine Learning for Institutional Researchers,['Jesse Lawson'],2015,1,3.12,8
Data Science for Marketing Analytics: Achieve your marketing goals with the data analytics power of Python,"['Tommy Blanchard', 'Pranshu Bhatnagar', 'Debasish Behera']",0,2,3.00,2
"AI in Marketing, Sales and Service: How Marketers without a Data Science Degree can use AI, Big Data and Bots",['Peter Gentsch'],0,2,4.33,3
Statistics: Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python,['AI Publishing'],0,1,4.00,1
"Machine Learning: 2 Books in 1: Python Machine Learning and Data Science. A Comprehensive Guide for Beginners to Master Deep Learning, Artificial Intelligence ... Python.",['Andrew Park'],0,1,0.00,0
Probability and Statistics for Data Science: Math + R + Data,['Norman Matloff'],0,4,4.00,3
Clean Data - Data Science Strategies for Tackling Dirty Data,['Megan Squire'],2015,2,2.80,10
There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,['Data Science Co'],0,1,0.00,0
There Are Two Types Of People In This World: Those Who Can Extrapolate From Incomplete Data: Computer Data Science Journal Blank Lined Notebook (6x9) 60 Pages,['Data Science Journal'],0,1,0.00,0
"Java Programming Box Set: Programming, Master's Handbook & Artificial Intelligence Made Easy; Code, Data Science, Automation, problem solving, Data Structures & Algorithms",['Code Well Academy'],0,1,3.57,7
Unsupervised Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python and Theano,['Lazy Programmer'],0,1,3.43,7
